# 
# ID	X(Mpc)	Y(Mpc)	Z(Mpc)	Vx(km/s)	Vy(km/s)	Vz(km/s)	Vmax(km/s)	Vpeak(km/s)	Mvir(Msun)	Mpeak(Msun)	Rvir(kpc)	Rmax(kpc)	apeak	Mstar_preferred(Msun)	Mstar_Behroozi2013(Msun)	npart	PID	UpID
# 
40435014 35.12245 35.05030 35.09417  -84.35   79.70  114.81    3.61    3.21 9.9296e+05 2.0563e+06 2.60000 0.19487 0.28950 0.25509  111.88       74 40440170 40440170
40435015 35.10127 35.05097 35.07579  -71.14  132.62  113.32    3.10    5.20 7.3282e+05 6.8324e+06 2.34930 0.19015 0.17660  2.5582  609.66       55 40441608 40440170
40435017 35.17272 35.13279 35.09772  -78.35  132.65   92.52    3.54    4.68 1.0166e+06 9.1493e+06 2.61972 0.20289 0.26290  4.4815  920.77       96 40440170 40440170
40435019 35.18014 35.13252 35.14507  -87.89   96.68  108.69    3.44    5.05 1.2293e+06 4.4211e+06 2.79155 0.26608 0.17660  1.1091  329.73      104 40440170 40440170
40435025 35.21659 35.16273 35.08211  -69.26   93.36   11.71    3.33    4.84 2.293e+06 3.5465e+06 3.43662 0.33915 0.70780 0.72639  241.54      139 40440170 40440170
40435026 35.15611 35.20441 35.03083 -102.93   92.29  -20.72    5.16    6.23 1.7873e+07 2.5634e+07 6.81268 0.64191 0.70780  32.395  3943.8     1300 40440170 40440170
40435036 35.14863 35.16828 35.01335  -71.38   38.03  105.79    4.62    5.19 5.2718e+06 1.693e+07 4.53521 0.41446 0.43230  14.607  2195.4      446 40440170 40440170
40435044 35.09442 35.14590 35.08146 -146.57   14.08   31.22    3.30    3.68 4.2549e+06 6.1225e+06 4.22254 0.60650 0.82740  2.0724  522.18      315 40440170 40440170
40435048 35.20015 35.20693 35.15454 -147.36   18.55  -30.18    8.89   10.53 2.231e+07 1.3742e+08 7.33662 0.50150 0.47210  814.01   42228     1131 40440170 40440170
40435052 35.15904 35.16414 35.14358 -149.54   28.27   71.20    4.45    5.37 1.7972e+06 9.7634e+06 3.16761 0.21048 0.31610  5.0768  1009.2       91 40440170 40440170
40435054 35.12886 35.17686 35.15851 -148.51   68.88  110.75    3.31    4.05 1.3239e+06 5.6732e+06 2.86056 0.24137 0.44560  1.7903   468.9      149 40440170 40440170
40435059 35.20458 35.19076 35.13106  -37.12   93.49   80.71    4.51    7.86 1.3711e+06 2.4352e+07 2.89437 0.22523 0.18990  29.357  3668.3       62 40440170 40440170
40435060 35.18045 35.20585 35.14648  -28.57  105.50   38.89    7.97   14.48 9.1254e+06 1.398e+08 5.44507 0.35725 0.20000   841.3   43264      447 40440170 40440170
40435077 35.19889 35.17246 35.20793 -260.42   19.51   22.32    6.34    8.54 5.8859e+06 3.2648e+07 4.70423 0.40728 0.22640  51.542  5549.2      288 40436887 40440170
40435078 35.19970 35.17908 35.20097 -257.84   29.63   27.82    4.56    4.25 1.8915e+06 5.9099e+06 3.22254 0.26443 0.36590  1.9364  496.75       96 40440170 40440170
40435079 35.21444 35.19006 35.22631 -290.13   90.19   -8.78    4.79    9.14 2.7901e+06 5.9746e+07 3.66761 0.28798 0.30280  164.47   13026      127 40440170 40440170
40435081 35.20390 35.18792 35.20635 -307.56   -7.49   66.29    4.23    4.82 1.182e+06 4.2789e+06 2.75493 0.20503 0.23970  1.0416  314.85       51 40440170 40440170
40435083 35.20932 35.18490 35.22724 -294.19   50.18   68.84    5.75    7.86 3.0732e+06 1.738e+07 3.78873 0.19405 0.17660  15.363  2278.4      147 40440170 40440170
40435086 35.22110 35.18955 35.21549 -161.78  125.91 -176.29    6.36    9.12 5.7915e+06 2.5915e+07 4.67887 0.27656 0.17660  33.082  4005.1      272 40440170 40440170
40435087 35.22423 35.18300 35.18770 -138.76  -28.77  -94.33    4.59    6.19 2.2465e+06 8.9592e+06 3.41268 0.23134 0.17660  4.3044  893.86      110 40440170 40440170
40435091 35.22377 35.21601 35.20468 -115.44   74.29 -199.64    6.64    9.28 1.0213e+07 7.0394e+07 5.65352 0.51150 0.36590  225.34   16421      601 40440170 40440170
40435094 35.19606 35.17828 35.23593 -103.56  107.63 -159.11    3.27    3.92 1.4887e+06 5.8394e+06 2.97606 0.23839 0.32930  1.8923  488.41      146 40440170 40440170
40435097 35.23024 35.19718 35.18734  -73.72  121.53 -100.79    4.21    6.37 1.5127e+06 1.7239e+07 2.99155 0.20647 0.32930  15.125  2252.4       72 40440170 40440170
40435098 35.23563 35.20993 35.26975  -69.82   54.33  -93.72    5.72    5.86 2.8845e+06 7.3042e+06 3.70845 0.18033 0.21310  2.9082  669.94      126 40440170 40440170
40435101 35.20628 35.21506 35.23961 -138.26 -200.14   84.37    3.50    3.33 2.0099e+06 4.1606e+06 3.28873 0.33260 0.64140 0.98703  302.63      150 40440170 40440170
40435102 35.20962 35.21049 35.23852 -155.01 -194.74   71.60    3.03    2.34 2.1282e+06 3.3338e+06 3.35211 0.71054 0.90040 0.64506  221.34      111 40440170 40440170
40435104 35.16385 35.16973 35.21583 -168.02  -92.03  124.85    3.09    3.29 5.9099e+05 1.4662e+06 2.18732 0.12782 0.30280 0.13324  69.396       30 40440170 40440170
40435106 35.21906 35.20069 35.22632 -131.48 -111.29  -87.42    3.69    3.44 7.3282e+05 2.1282e+06 2.34930 0.14205 0.31610 0.27248  117.44       37 40440170 40440170
40435112 35.23527 35.17338 35.20165  -99.06 -138.22   34.26    3.84    4.80 1.4423e+06 5.2718e+06 2.94366 0.28945 0.17660   1.555  422.75       78 40440170 40440170
40435130 35.15059 34.97520 35.23628  -76.87  112.99  122.87    4.36    5.72 2.7901e+06 1.208e+07 3.66761 0.35842 0.21310  7.6409  1363.2      391 40440170 40440170
40435131 35.16059 34.96477 35.18523  -43.84  109.34   77.77    3.34    3.78 1.9859e+06 3.8775e+06 3.27465 0.45470 0.60160 0.86212  273.97      287 40440170 40440170
40435133 35.13234 34.98638 35.32246  -69.19   88.26  113.95   10.35   17.42 2.7042e+07 2.1831e+08 7.82113 0.48819 0.16330  1979.6   81176     1360 40440170 40440170
40435137 34.99221 34.99313 35.36725  -96.58   80.75   72.48    4.65    4.89 6.7141e+06 1.6901e+07 4.91549 0.56953 0.53520   14.56  2190.3      680       -1       -1
40435141 34.93968 35.06879 35.23018 -111.87   90.14  104.88    3.79    4.45 3.9958e+06 6.0761e+06 4.13521 0.37481 0.53520  2.0423  516.59      314       -1       -1
40435144 34.97723 35.16572 35.20018 -109.65  102.39  120.37    4.21    4.75 2.0803e+06 3.0028e+06 3.32676 0.29819 0.56180 0.52773  190.96      110 40440170 40440170
40435145 34.95387 35.04255 35.33800  -94.20   86.10   70.40    3.51    3.64 4.7746e+06 7.3282e+06 4.38732 0.43772 0.66800  2.9265  673.04      377       -1       -1
40435154 35.04315 35.15106 35.37873  -49.90   85.16  102.73    3.13    2.26 4.4915e+05 4.9648e+05 1.99577 0.11416 0.94020 0.01666  15.041       29 40441524 40440170
40435155 35.03838 35.16058 35.41113  -50.46  132.00  111.87    3.31    4.79 1.5366e+06 4.3493e+06 3.00704 0.40841 0.21310  1.0748  322.19      105 40441524 40441524
40435156 35.15985 35.20969 35.24507 -148.50  -41.04  -35.21    3.95    4.06 1.5127e+06 3.4986e+06 2.99155 0.20200 0.33930 0.70767  236.94       71 40440170 40440170
40435158 35.23606 35.19489 35.22854 -159.08  -72.59  -85.45    3.40    7.43 1.182e+06 1.7254e+07 2.75493 0.21956 0.16330  15.148    2255       55 40440170 40440170
40435162 35.18772 35.16175 35.23003 -255.24   26.76  -40.03    3.38    3.32 2.9789e+06 4.4451e+06 3.74930 0.49792 0.54850  1.1207  332.26      281 40440170 40440170
40435164 35.20668 35.14918 35.20223 -220.01   96.65   20.91    3.36    3.27 8.9831e+05 3.1437e+06 2.51408 0.18910 0.36590 0.57628  203.73       51 40440170 40440170
40435166 35.20724 35.15487 35.15593 -149.65   84.45  -43.52    3.40    3.62 1.4423e+06 2.8366e+06 2.94366 0.26405 0.26290 0.47308  176.21      225 40440170 40440170
40435174 35.20346 35.18203 35.21983 -245.54  -62.76   34.05    6.94   10.30 3.9479e+06 1.7254e+07 4.11831 0.21540 0.30280  15.148    2255      193 40436550 40440170
40435190 35.16966 35.16286 35.21920 -172.50  134.34   44.22    3.08    5.08 9.4563e+05 1.0449e+07 2.55775 0.36453 0.26290  5.7837  1110.8       43 40440170 40440170
40435192 35.18773 35.18107 35.24642 -171.76   57.93   97.13    4.88    4.92 1.8676e+06 2.6718e+06 3.20845 0.24722 0.70780 0.42173  161.93       87 40440170 40440170
40435197 35.23623 35.14352 35.24128  -96.27  -96.29   17.96    6.51    8.91 1.0473e+07 8.7394e+07 5.70141 0.44124 0.33930  341.36   22286      542 40440170 40440170
40435201 35.22344 35.20656 35.23597  -46.42    2.57  -10.28    4.46    4.35 1.182e+06 1.2293e+06 2.75493 0.16325 0.92700 0.094995  54.108       64 40440170 40440170
40435207 35.19608 35.20680 35.26504  -67.71  -40.93    7.68    6.66    7.97 5.9577e+06 1.0118e+07 4.72394 0.39609 0.50860  5.4371  1061.4      255 40438685 40440170
40435211 35.19801 35.14003 35.25614 -113.34   37.56  -31.87    3.77    5.04 1.631e+06 7.4e+06 3.06761 0.30740 0.30280  2.9818  682.38       81 40440170 40440170
40435216 35.20024 35.20513 35.29177 -100.18   46.48  -48.24    8.37   10.27 9.5507e+06 3.7592e+07 5.52817 0.28330 0.15010  67.567  6771.7      593 40438287 40440170
40435218 35.16977 35.15058 35.32720  -50.35  123.06  -30.93    3.48    3.99 1.5845e+06 5.2014e+06 3.03803 0.31066 0.32930  1.5153  414.79      127 40440170 40440170
40435219 35.21385 35.06346 35.21045 -105.90   -8.32   60.11    3.53    3.91 1.2293e+06 1.5845e+06 2.79155 0.10587 0.62820 0.15465  77.432       99 40440170 40440170
40435226 35.19618 35.02938 35.19689  -79.21   -2.65  101.59    4.02    3.98 1.7014e+06 2.3408e+06 3.11127 0.23285 0.61490 0.32716  134.35      156 40440170 40440170
40435235 35.21083 35.17994 35.17262 -107.63    2.95  106.23    3.45    7.08 6.1465e+05 1.0899e+07 2.21549 0.14556 0.18990  6.2706  1178.8       34 40435547 40440170
40435237 35.23032 35.16261 35.27308  -84.26  -37.25   54.13    4.42    5.12 1.8915e+06 7.7535e+06 3.22254 0.31168 0.26290  3.2613  728.86      172 40440170 40440170
40435238 35.21637 35.14156 35.30882  -61.83   14.13   92.12    3.81    4.18 1.3003e+06 3.4282e+06 2.84366 0.16796 0.32930 0.68058  230.24      281 40440170 40440170
40435239 35.06537 35.11449 35.19715  -98.42   60.87  115.51    3.56    4.45 1.2293e+06 5.6972e+06 2.79155 0.18431 0.40570  1.8048   471.7       93 40440170 40440170
40435242 35.13356 35.11206 35.18145 -132.77  120.20  110.39    4.96    5.94 2.9549e+06 1.5183e+07 3.73944 0.30539 0.31610  11.851  1882.6      339 40440170 40440170
40435243 35.11365 35.08100 35.21893  -52.69   27.88  124.23    4.30    4.09 1.9859e+06 4.2085e+06 3.27465 0.23668 0.72110   1.009  307.56      126 40440170 40440170
40435250 35.16651 35.14159 35.18601 -165.09   78.06   75.94    4.72    4.95 2.269e+06 1.1158e+07 3.42394 0.22787 0.32930    6.56  1218.6      263 40440170 40440170
40435252 35.19877 35.07675 35.22356  -76.47  121.01   36.94    3.89    4.42 1.3239e+06 5.2479e+06 2.86056 0.23572 0.27620  1.5414  420.04      194 40440170 40440170
40435253 35.21656 35.12454 35.19627  -56.70   91.31   12.19    4.09    4.35 1.2293e+06 2.1042e+06 2.79155 0.17667 0.69460 0.26662  115.58       84 40440170 40440170
40435254 35.19701 35.10255 35.19982  -43.73   64.11  104.58    7.71    8.46 1.253e+07 1.7915e+07 6.05211 0.41217 0.84060  16.284  2378.1      961 40440170 40440170
40435255 35.19393 35.05958 35.25183  -61.27   31.68   18.36    4.10    3.93 1.7014e+06 3.0732e+06 3.11127 0.20517 0.21310 0.55175  197.31      141 40440170 40440170
40435256 35.17846 35.07507 35.29228  -43.87   69.12   60.33    3.22    6.03 1.2293e+06 1.1915e+07 2.79155 0.22587 0.28950  7.4421    1337      114 40440170 40440170
40435262 35.21869 35.12654 35.22711 -108.22   75.15   20.55    6.71   10.04 6.1704e+06 5.1958e+07 4.77887 0.34763 0.18990  125.78   10695      295 40440170 40440170
40435265 35.17365 35.14125 35.21863  -61.57   72.25   18.13    4.75    5.27 2.3873e+06 3.6169e+06 3.48310 0.20257 0.70780 0.75434  248.34      398 40440170 40440170
40435266 35.17775 35.19248 35.20454  -79.63   88.78   91.76    3.75    4.82 6.6197e+05 1.3239e+06 2.27042 0.10866 0.84060 0.10953  60.083       41 40440170 40440170
40435269 35.19218 35.20223 35.27645  -88.03   68.15   -7.99    3.17    3.38 5.4366e+05 2.7901e+06 2.12676 0.17212 0.36590 0.45831  172.14       52 40440170 40440170
40435270 35.19159 35.17466 35.28627  -46.14  107.53   19.44    3.31    4.69 9.693e+05 6.0521e+06 2.57887 0.28810 0.30280  2.0268  513.72      115 40436178 40440170
40435276 35.21434 35.18373 35.33541 -152.98   90.37  -10.44    4.39    4.52 3.9958e+06 9.5507e+06 4.13521 0.54429 0.36590  4.8666  978.32      290 40440126 40440170
40435280 34.98325 35.00642 35.36862 -116.04   94.06   84.83    3.06    3.56 3.9014e+06 5.3901e+06 4.10141 0.64239 0.62820  1.6227   436.2      427       -1       -1
40435281 35.17825 35.03415 35.33156 -129.14  111.78   92.95    4.19    4.67 3.593e+06 6.3127e+06 3.99155 0.51428 0.41900  2.1977  545.22      191 40439978 40440170
40435286 35.15534 35.04803 35.36779  -70.41  118.75   89.45    4.24    4.93 2.269e+06 4.6803e+06 3.42394 0.28891 0.33930  1.2373  357.35      102 40440170 40440170
40435294 35.20148 35.21348 35.40235  -49.98  114.04   79.01    3.91    4.87 2.0338e+06 6.7141e+06 3.30141 0.28640 0.32930  2.4738  594.81      282 40440170 40440170
40435300 35.23645 35.19742 35.25789  -55.86   19.12   21.67    3.04    3.15 5.9099e+05 6.1465e+05 2.18732 0.22029 0.95350 0.025103  20.333       38 40440170 40440170
40435302 35.22285 35.16931 35.32503 -147.93  144.93  -44.35   14.64   16.22 2.2085e+08 4.7986e+08 15.74930 1.22114 0.57500  8980.4 2.4681e+05    21151 40440170 40440170
40435304 35.14155 35.20859 35.04868  -50.73  -44.86   28.01    3.24    3.28 3.7352e+06 4.0901e+06 4.04366 0.51473 0.88050  0.9552  295.42      425 40440170 40440170
40435305 35.13056 35.12720 35.02383  -10.18  -31.69  182.15    4.07    4.02 3.7352e+06 5.7451e+06 4.04366 0.30646 0.50860   1.834   477.3      324 40440170 40440170
40435307 35.18275 35.17042 34.97879  -47.94  -28.57  164.61    6.28    6.33 1.4732e+07 2.2465e+07 6.38732 0.49176 0.44560  25.144  3273.3      657 40440170 40440170
40435308 35.16844 35.16759 34.98832  -48.04  -35.78  165.55   13.06   13.21 1.6254e+08 1.969e+08 14.21972 1.06818 0.48540  1623.7   70168     9593 40440170 40440170
40435313 35.06652 35.10789 35.05861 -115.14    5.11   79.77    3.27    3.39 2.1507e+06 3.9239e+06 3.36338 0.35078 0.64140 0.88208  278.62      137 40440170 40440170
40435314 35.05831 35.11273 35.05708 -125.26    4.71   75.93    5.31    6.01 3.0732e+07 4.1437e+07 8.16197 0.97387 0.81410  81.458  7769.9     2575 40440170 40440170
40435315 35.11273 35.10062 35.03218  -79.96   -6.79   44.82    3.22    3.48 5.1775e+06 6.0761e+06 4.50845 0.52050 0.86720  2.0423  516.59      641 40440170 40440170
40435319 35.08725 35.14672 35.06506 -128.64  -13.01   70.68    4.25    4.10 9.8817e+06 1.0899e+07 5.59155 0.60715 0.86720  6.2706  1178.8      868 40440170 40440170
40435320 35.09411 35.15252 35.06800 -130.36  -18.93   71.67    3.42    3.29 4.9887e+06 5.4845e+06 4.45211 0.80128 0.47210  1.6777  447.03      404 40440170 40440170
40435326 35.11717 35.19806 35.07530 -149.16  -30.98   59.12    3.60    3.73 7.4704e+06 8.3451e+06 5.09437 0.78556 0.91370  3.7558  808.59     1264 40440170 40440170
40435328 35.22831 35.19138 35.00148 -122.53   -9.47   19.66    3.90    4.09 4.7521e+06 5.769e+06 4.38028 0.31441 0.70780  1.8487  480.12      623 40440170 40440170
40435335 35.19807 35.16863 35.02642 -173.43  260.97   43.93    3.67    3.61 8.2268e+06 9.0775e+06 5.26056 0.94134 0.81410  4.4142  910.58      799 40440170 40440170
40435337 35.19032 34.97494 35.02117  -58.92  147.10   56.41    3.55    3.85 1.3475e+06 1.7732e+06 2.87746 0.21820 0.61490 0.19195  90.767      151       -1       -1
40435341 35.21175 34.94414 35.06135  -68.27  121.18   34.54    3.11    2.90 1.1111e+06 1.5845e+06 2.69859 0.22050 0.48540 0.15465  77.432      108       -1       -1
40435344 35.18269 34.97415 35.07830  -67.41  158.62   45.50    4.17    3.97 3.1915e+06 4.3028e+06 3.83662 0.24548 0.64140  1.0528  317.34      370       -1       -1
40435348 35.13594 34.92080 35.14211  -57.12  248.91   -8.72    3.11    3.11 3.1211e+06 3.1211e+06 3.80845 0.63962 1.00000 0.56838  201.67      198       -1       -1
40435360 35.07744 35.08239 35.10986 -115.59  144.10   65.01    4.27    5.45 3.1915e+06 1.2672e+07 3.83662 0.36756 0.30280  8.3755  1458.4      218 40440170 40440170
40435364 35.06152 35.16186 34.92344 -154.43   96.34   91.32    4.88    5.39 1.2979e+07 1.607e+07 6.12394 1.18084 0.45880  13.217  2039.8      898       -1       -1
40435370 35.09024 35.18518 34.95686 -171.50  123.51   86.57   12.08   12.25 1.962e+08 2.3648e+08 15.14085 1.86678 0.62820    2308   90876    13901       -1       -1
40435372 35.18630 35.13879 34.90575 -150.37   77.21   78.92   13.67   13.50 3.1563e+08 3.5986e+08 17.74085 1.24553 0.72110  5168.1 1.644e+05    17759       -1       -1
40435376 35.18103 35.20569 35.01513 -189.86  120.48   24.05    3.17    3.22 1.2766e+06 1.5366e+06 2.82676 0.24255 0.26290  0.1458  74.148       62 40440170 40440170
40435377 35.18652 35.20013 35.01266 -186.25  114.70   27.09    6.67    6.95 2.2746e+07 2.407e+07 7.38310 0.61183 0.66800  28.708  3608.5     1694 40440170 40440170
40435380 35.22665 35.20446 35.03817 -200.92  107.93    5.29    4.84    4.70 8.1563e+06 8.5099e+06 5.24507 0.30758 0.85390  3.8995  831.23      807 40440170 40440170
40435388 35.19463 34.98231 35.02842  -66.17  153.60   54.14    3.48    3.58 1.3475e+06 1.607e+06 2.87746 0.26865 0.72110  0.1589  78.992      118       -1       -1
40435390 35.18458 34.97138 34.99992  -49.05  173.51   83.58    4.63    4.76 4.4915e+06 5.6732e+06 4.30000 0.31357 0.57500  1.7903   468.9      396       -1       -1
40435392 35.17855 34.99089 34.97401  -45.06  202.36  124.51    3.49    3.44 1.7254e+06 2.269e+06 3.12535 0.26760 0.54850 0.30815  128.56       85       -1       -1
40435395 35.18969 35.01835 35.06224  -53.02  156.42   82.70    5.54    6.79 4.4451e+06 1.6169e+07 4.28451 0.32153 0.21310  13.373  2057.5      348 40440170 40440170
40435400 35.23520 35.17982 35.02101 -169.26  212.11   42.87    3.59    3.29 2.0338e+06 2.4352e+06 3.30141 0.26890 0.43230 0.35295  142.06      240 40646518 40440170
40435402 35.17689 35.11875 34.99079  -45.29  139.44   76.01    3.98    4.95 2.0338e+06 8.5338e+06 3.30141 0.21773 0.33930  3.9206  834.53      117 40440170 40440170
40435407 35.21003 35.15887 35.10782 -113.75  200.66   97.22    3.85    4.32 1.3711e+06 4.7042e+06 2.89437 0.10310 0.28950  1.2495  359.93       62 40440170 40440170
40435430 35.21727 35.20403 35.20555  -47.13  170.01 -208.61    4.50    4.32 1.3475e+06 3.9718e+06 2.87746 0.18598 0.74770 0.90286  283.43       82 40440170 40440170
40435433 35.22056 35.15087 35.22711 -136.69  272.34  -85.86    5.81    6.83 5.0113e+06 1.607e+07 4.45915 0.29867 0.31610  13.217  2039.8      316 40440170 40440170
40435434 35.18355 35.18342 35.23542  -93.79  148.98 -153.46    3.33    3.88 1.182e+06 2.8606e+06 2.75493 0.29361 0.27620 0.48078  178.31       81 40440170 40440170
40435435 35.21682 35.16354 35.19515  -46.20  171.15 -153.36    5.36    5.09 4.6338e+06 8.6521e+06 4.34366 0.24461 0.30280  4.0256  850.92      242 40437559 40440170
40435454 35.21024 35.20854 35.19239 -116.45  324.61  -75.74    4.47    5.11 2.0563e+06 2.8606e+06 3.31408 0.26946 0.85390 0.48078  178.31      134 40440170 40440170
40435459 35.21080 35.17117 35.20069 -260.92  147.47   -3.31    5.04    6.07 5.3901e+06 1.8465e+07 4.56901 0.55544 0.37920  17.256  2481.7      314 40440170 40440170
40435460 35.20794 35.19672 35.24527 -278.73  186.48  -49.56    4.02    6.00 1.7732e+06 1.253e+07 3.15352 0.25116 0.25000  8.1959  1435.3       78 40440170 40440170
40435462 35.19214 35.18170 35.21652 -256.69  154.41  100.49    3.87    3.95 1.3711e+06 3.9479e+06 2.89437 0.30539 0.54850 0.89244  281.02       65 40440170 40440170
40435463 35.15913 35.19262 35.22106 -281.27  270.44   72.56    3.61    3.51 3.9239e+06 5.9577e+06 4.10986 0.57097 0.92700  1.9666  502.44      347 40440170 40440170
40435471 35.13514 34.98627 35.22904  -83.29  143.40  119.81    3.39    4.23 1.5845e+06 4.3732e+06 3.03803 0.24730 0.26290  1.0862   324.7      120 40442558 40440170
