# 
# ID	X(Mpc)	Y(Mpc)	Z(Mpc)	Vx(km/s)	Vy(km/s)	Vz(km/s)	Vmax(km/s)	Vpeak(km/s)	Mvir(Msun)	Mpeak(Msun)	Rvir(kpc)	Rmax(kpc)	apeak	Mstar_preferred(Msun)	Mstar_Behroozi2013(Msun)	npart	PID	UpID
# 
55820537 34.41399 35.61503 36.52228   34.07 -136.64   28.13   24.63   24.63 1.8845e+09 1.8845e+09 32.18169 3.26280 1.00000 1.2414e+05 1.702e+06    73888       -1       -1
55761845 34.98589 35.12980 34.66825   45.49    7.44   83.87   24.23   24.51 1.8423e+09 1.9577e+09 31.94225 3.21500 0.70780 1.1885e+05 1.6484e+06    75533       -1       -1
55778928 33.92244 34.89756 35.46983   76.37 -127.10   83.46   20.88   20.88 1.7845e+09 1.7845e+09 31.60282 4.38503 1.00000 1.118e+05 1.5759e+06    69491       -1       -1
56074751 35.46027 35.27931 35.13906   59.58  -57.25  -15.14   28.74   36.13 1.7324e+09 6.1155e+09 31.29718 3.47588 0.52190 1.1893e+06 8.9441e+06   171538 55819864 55819864
55835894 35.06134 35.37817 35.25856  157.21  -68.35 -122.50   21.56   21.78 1.6901e+09 1.7746e+09 31.04085 4.21308 0.78750 1.1062e+05 1.5637e+06    87096 55819864 55819864
56106221 35.83901 36.44132 35.67794  -19.09  -93.41   28.51   19.38   19.30 1.607e+09 1.6099e+09 30.51972 3.86597 0.89380   91435 1.3594e+06    69237       -1       -1
55819579 35.21415 35.27800 35.02104   19.57 -152.39  -59.29   29.23   35.12 1.5901e+09 5.2423e+09 30.40986 2.61765 0.58830 8.8487e+05 7.2005e+06   124999 55819864 55819864
56050987 35.51245 35.47485 35.47137  -77.80 -185.13   85.70   22.56   22.56 1.5718e+09 1.5718e+09 30.30141 2.88485 1.00000   87628 1.3175e+06    65052       -1       -1
55749438 34.77358 34.29875 35.04442   26.08  -25.57   14.00   21.04   21.04 1.562e+09 1.562e+09 30.23521 5.74480 1.00000   86576 1.3059e+06    55506       -1       -1
55839298 35.28810 35.29534 35.46797  153.22 -141.98   93.23   22.96   27.07 1.4676e+09 3.293e+09 29.61549 3.26811 0.54850 3.6246e+05 3.7398e+06   125266 55819864 55819864
56012940 35.38993 34.55386 34.21449    3.71 -129.39  146.62   18.77   18.63 1.3921e+09 1.4296e+09 29.09437 4.85940 0.66800   69407 1.1101e+06    58429       -1       -1
55816292 35.09251 35.26348 35.23069  144.47 -217.09    5.47   25.71   29.23 1.3711e+09 3.1113e+09 28.94789 3.41894 0.65470 3.2504e+05 3.4522e+06   189330 55819864 55819864
55806065 35.18538 35.74196 35.06566  -33.73 -195.19   16.08   19.81   19.81 1.3586e+09 1.3586e+09 28.85915 3.58965 1.00000   66233 1.0725e+06    56012       -1       -1
55773638 35.17846 35.19797 35.20915  289.60 -287.37   12.15   23.33   27.04 1.3168e+09 2.6493e+09 28.56056 4.00680 0.35260 2.3874e+05 2.752e+06   135811 55819101 55819864
56027232 36.07542 35.74669 34.57308   18.95 -142.53   90.34   19.06   18.28 1.3093e+09 1.5113e+09 28.50704 2.88885 0.77420   61696 1.018e+06    50902       -1       -1
55779052 34.90937 34.85335 35.52980  142.07  -87.73   50.01   19.62   17.76 1.198e+09 1.3739e+09 27.67465 3.74804 0.76100   52024 8.9806e+05    53007       -1       -1
55811631 35.09254 35.33910 34.99175    6.30 -163.44  -26.90   24.16   26.90 1.1831e+09 2.1775e+09 27.55915 3.21869 0.43230 1.6383e+05 2.0868e+06    89238 55819864 55819864
55775853 35.04718 34.92746 35.21093  117.07   -1.93   35.07   22.99   24.32 1.127e+09 1.6155e+09 27.11690 3.44099 0.49870   92361 1.3695e+06    58570       -1       -1
56051078 35.37051 35.98955 35.54679   78.54 -185.62   74.03   19.44   19.44 1.1006e+09 1.1006e+09 26.90282 2.73670 1.00000   44203 7.9669e+05    46547       -1       -1
55763671 35.27665 35.15421 34.92018   89.74  -41.29  100.15   22.07   23.17 1.0354e+09 1.3799e+09 26.36056 2.87535 0.49870   68238 1.0963e+06    56660 55819864 55819864
55820556 35.30555 35.84824 35.30963  -34.63 -173.37    6.09   19.49   19.49 1.0346e+09 1.0346e+09 26.35493 2.77422 1.00000   39260 7.3018e+05    42884       -1       -1
56027295 36.01035 35.84094 34.97676  -41.83 -106.81   85.35   17.58   17.58 1.021e+09 1.021e+09 26.23803 3.89207 1.00000   38271 7.1661e+05    43879       -1       -1
55813483 35.30869 35.22076 35.00511  -68.83  -18.09  233.68   19.53   19.60 9.9056e+08 1.0397e+09 25.97465 3.41572 0.62820   39630 7.3523e+05    46903 55819864 55819864
56051096 35.79306 36.02132 35.45349   10.04 -141.05   11.55   19.19   19.19 9.7099e+08 9.7099e+08 25.80282 2.83406 1.00000   34754 6.6757e+05    41959       -1       -1
55778727 34.54842 34.76507 36.15110    1.99  -43.78   -1.22   15.66   15.73 9.5845e+08 9.6592e+08 25.69014 5.12971 0.85390   33897 6.5544e+05    40998       -1       -1
56027330 36.49462 35.61897 34.70199  -29.16  -98.11   77.17   19.50   19.50 9.5746e+08 9.5746e+08 25.68310 2.57016 1.00000   33830 6.5449e+05    37787       -1       -1
56073150 35.44727 35.06665 35.01687   -9.69    1.68  127.13   20.30   20.60 9.4451e+08 1.1194e+09 25.56620 2.06395 0.72110   32957 6.4202e+05    54371       -1       -1
